name,category,lat,long,img,description
Печёрский Вознесенский монастырь,"religion,monasteries,interesting_places",56.322777,44.049721,,
Театр драмы (Арзамас),"theatres_and_entertainments,cultural,interesting_places,other_theatres",55.398361,43.824226,,
Церковь Александра Невского в Сормово,"religion,churches,interesting_places,eastern_orthodox_churches",56.357773,43.868862,,
Арзамасское подворье,"religion,monasteries,interesting_places",55.382599,43.824001,,
Церковь Илии Пророка,"religion,churches,interesting_places,other_churches",55.386215,43.823055,,
Церковь Смоленской иконы Божией Матери,"religion,churches,interesting_places,other_churches",55.382801,43.82391,,
Усадьба Вяхиревых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.321663,43.974319,,
Дом Ермолаевых — П. Парфёнова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.315933,43.987328,,
Доходный дом Б. Н. Юсупова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.322086,44.000031,,
Торговый флигель О. Н. Каменевой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.317665,43.995853,,
Дом Е. Трушенинниковой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.329014,44.010155,,
Дом Виноградовых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.323109,43.987938,,
Дом М. В. Медведева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.323944,43.976734,,
Здание Волжско-Камского банка,"historic_architecture,architecture,interesting_places,bank,banks,tourist_facilities,other_buildings_and_structures",56.329498,43.991901,,
Дом И. Н. Соболева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.326599,43.98222,,
Дом А. И. Фролова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.321331,44.004597,,
Казанская церковь (Кстово),"religion,churches,interesting_places,eastern_orthodox_churches",56.181389,44.172501,,
Усадьба Е. И. Богоявленской,"architecture,historic_architecture,interesting_places,manor_houses",56.323872,44.027401,,
Усадьба Киршбаумов,"architecture,historic_architecture,interesting_places,manor_houses",56.323601,44.019402,,
Дом А. К. Фомина,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.328957,44.011063,,
Дом культуры ГУВД (Нижний Новгород),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.316048,43.988495,,
Комаровский скит,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.869064,44.217567,,
Мариинский институт благородных девиц (Нижний Новгород),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.325714,44.029251,,
Храм Успения Девы Марии (Нижний Новгород),"religion,other_temples,interesting_places",56.316944,44.00111,,
Cerkiew Kazańskiej Ikony Matki Bożej w Niżnym Nowogrodzie,"religion,churches,interesting_places,eastern_orthodox_churches",56.233173,44.000504,,
Архитектурно-этнографический музей-заповедник «Щёлоковский хутор»,"museums,cultural,interesting_places,local_museums,open_air_museums",56.274166,44.010555,,
Благовещенская церковь,"religion,churches,interesting_places,other_churches",55.385132,43.817131,,
Ночлежный дом Бугровых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.329487,43.997433,,
Доходный дом И. А. Княгининского,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324661,44.005154,,
Усадьба Лебединской,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.327522,44.018311,,
Дом Ф. П. Переплётчикова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.330383,43.997921,,
Здание аптеки Эвениуса,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.325569,44.007744,,
Усадьба Серебренниковой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.311077,43.988293,,
Усадьба Е. В. Веселовской,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.326576,44.014103,,
Здание Окружного суда,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.322578,43.999916,,
Красные казармы (Нижний Новгород),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.331654,44.00317,,
Дом С. И. Пятова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324574,43.994339,,
Дом А. И. Надеждиной — М. А. Комаровой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.316452,43.989059,,
Усадьба П. Н. Соколовой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.322693,44.008141,,
Здание нижегородской семинарии,"religion,other_temples,interesting_places",56.328316,44.008427,,
Доходный дом городского общества,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.329536,43.99435,,
Усадьба А. Н. Седова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.312981,43.999546,,
Дом М. Кузнецова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.319572,43.972305,,
Дом В. С. Прядилова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.321384,44.003677,,
Дом титулярного советника П. Н. Григорьева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.329521,44.009991,,
"Городской торговый корпус, выстроенный на пожертвования Николая Александровича Бугрова","historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.328587,43.996449,,
Дом Д. А. Вернера,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324265,44.030865,,
Торговый корпус Ф. Н. Гущина,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.33017,43.998001,,
Дом С. С. Долганова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.322144,43.990952,,
Усадьба Кашириных,"architecture,historic_architecture,interesting_places,manor_houses",56.32172,44.015862,,
Дом Я. И. Котельникова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.320389,43.989841,,
Усадьба купца А. В. Маркова,"architecture,historic_architecture,interesting_places,manor_houses",56.32,43.988201,,
Доходный дом П. Ф. Ремлера,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.31715,43.988098,,
Дом В. К. Мичурина,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.326561,43.98103,,
Дом Е. А. Березина,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.315071,43.988281,,
Жилой дом А. П. Покровского,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.31332,43.981098,,
Корпус Товарищества машиностроительного производства «Добров и Набгольц»,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.327538,43.984219,,
"Комплекс психоневрологической больницы, основанной врачом П. П. Кащенко","historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.322952,44.022446,,
Комплекс жилых домов по улице Новой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.31142,43.996185,,
Подвязье,"architecture,historic_architecture,interesting_places,manor_houses",56.169441,43.351109,,
Дом губернатора (Нижний Новгород),"museums,cultural,interesting_places,other_museums",56.329533,44.00639,,
Банковская контора (Кремлёвская полицейская часть),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.327656,43.999355,,
Оранский Богородицкий монастырь,"religion,monasteries,interesting_places",55.89423,43.713783,,
Свято-Никольский скит (Автодеево),"religion,monasteries,interesting_places",55.179932,43.107265,,
Серафимо-Понетаевский монастырь,"religion,monasteries,interesting_places",55.117134,43.888531,,
Успенская церковь (Бортсурманы),"religion,churches,interesting_places,other_churches",55.721207,45.87011,,
Скорбященская церковь,"religion,churches,interesting_places,eastern_orthodox_churches",56.327908,44.018257,,
Церковь Сошествия Святого Духа,"religion,other_temples,interesting_places",55.391964,43.809849,,
Мариинская женская гимназия (Нижний Новгород),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.319153,43.988613,,
Дом И. С. Пятова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.329582,43.992409,,
Жилой дом Лаврова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.311237,43.995369,,
Корпус верхнепосадских торговых рядов,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.32571,44.005367,,
Дом Приспешниковых. Редакция «Нижегородского листка»,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.320915,43.999565,,
Женское епархиальное училище (Нижний Новгород),"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.318626,43.997097,,
Дом А. Д. Улыбышева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.316193,43.993385,,
Дом Ф. А. Румянцевой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.320698,44.001984,,
Здание уездного училища,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.325813,44.012093,,
Дом И. Шувалова — А. К. Гейнце,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.327976,43.987392,,
Усадьба И. И. Рудинского — А. П. Сергеева,"architecture,historic_architecture,interesting_places,manor_houses",56.326099,44.018299,,
Усадьба Гусевых,"architecture,historic_architecture,interesting_places,manor_houses",56.312981,43.998917,,
"Дом, в котором в 1819 году родился писатель Павел Иванович Мельников-Печерский","historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324001,44.018002,,
Дом И. М. Грибкова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324821,44.034206,,
Церковь Троицы Живоначальной,"religion,churches,interesting_places,eastern_orthodox_churches",56.144085,44.347599,,
Флигель дома военного губернатора,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.329323,44.007648,,
Всесвятская церковь,"religion,other_temples,interesting_places",56.315197,44.006561,,
Вознесенская церковь (Нижний Новгород),"religion,churches,interesting_places,eastern_orthodox_churches",56.321388,43.990833,,
Александровский сад,"gardens_and_parks,cultural,urban_environment,interesting_places",56.3293,44.022999,,
Дом М. А. Костромина,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324829,44.003613,,
Дом декабристов Белавиных,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.317562,43.995705,,
Дом И. И. Киризеева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.329205,43.990761,,
Дом А. Б. Смирнова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.327854,43.986874,,
Дом купца В. М. Арясова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.325996,43.992058,,
Дом К. Г. Иванова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.321186,43.999851,,
Дом Есыревых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.328266,43.986755,,
Дом купцов Чурина и Зверева — доходный дом купца И. В. Гребенщикова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.329212,43.992123,,
Школа и богадельня для слепых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.326599,43.993,,
Торгово-складской корпус Н. Е. Макаровского,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.328945,43.995098,,
Усадьба Бурмистровых,"architecture,historic_architecture,interesting_places,manor_houses",56.320778,43.989662,,
Усадьба Губина (Нижний Новгород),"architecture,historic_architecture,interesting_places,manor_houses",56.328678,44.014359,,
Дом М. Е. Башкирова в Нижнем Новгороде,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.320023,43.976254,,
Усадьба Н. П. Вагина,"architecture,historic_architecture,interesting_places,manor_houses",56.323105,43.991417,,
Казанская церковь,"religion,churches,interesting_places,other_churches",56.148411,44.343929,,
Церковь Похвалы Божией Матери над Похвалинским съездом,"religion,churches,interesting_places,other_churches",56.320328,43.982468,,
Здание Александровской женской богадельни с родовспомогательным отделением,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.319618,44.014668,,
Мемориал «Горьковчане в Великой Отечественной войне»,"historic,monuments_and_memorials,burial_places,interesting_places,other_burial_places,monuments",56.328724,44.001251,,
Бюст академика Н. Н. Боголюбова (Нижний Новгород),"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",56.319168,43.996666,,
Храм Рождества Христова,"religion,churches,interesting_places,other_churches",55.382549,43.823822,,
Памятник Ленину на улице Коминтерна (Нижний Новгород),"historic,cultural,urban_environment,monuments_and_memorials,interesting_places,sculptures,monuments",56.356632,43.864864,,
Усадьба Рябининой,"architecture,historic_architecture,interesting_places,manor_houses",56.32085,43.990334,,
Усадьба Г. Сверчкова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324635,44.003407,,
Дом Н. М. Карамзина,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.326378,44.009727,,
Дом П. С. Остатошникова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.326103,44.016777,,
Усадьба А. И. Башкировой,"architecture,historic_architecture,interesting_places,manor_houses",56.325981,44.01746,,
Дом бургомистра Пушникова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.323826,43.985855,,
Усадьба М. Н. Щелокова,"architecture,historic_architecture,interesting_places,manor_houses",56.317799,44.000443,,
Дом Кугушевых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.323154,43.98901,,
Усадьба Анучиных — Вяловых — Гагариных,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.316193,43.990646,,
Дом Щелоковых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324745,44.008793,,
Жилой дом И. Ф. Эглит,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.311527,43.994984,,
Дом Строгановых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.32682,43.98484,,
Усадьба И. К. Лопашева,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.324322,44.003113,,
Дом трудолюбия имени Михаила и Любови Рукавишниковых,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.321213,44.012722,,
Дом Г. С. Долганова,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.323673,43.991596,,
Храм Священномученика и Исповедника Аввакума,"religion,churches,interesting_places,other_churches",55.78146,44.780422,,
Усадьба Неустроевых — А. Я. Башкирова,"other,unclassified_objects,interesting_places,historic_object",56.326,44.021301,,
Усадьба А. Н. Марковой,"historic_architecture,architecture,interesting_places,other_buildings_and_structures",56.321121,43.989868,,
Часовня Спасского Свято-Троицкого монастыря,"religion,churches,interesting_places,other_churches",56.317299,43.988201,,
Усадьба В. Е. Кожевникова,"architecture,historic_architecture,interesting_places,manor_houses",56.320812,43.973358,,
Манеж (Нижний Новгород),"religion,churches,museums,cultural,interesting_places,eastern_orthodox_churches,art_galleries",56.327778,43.998611,,
Успенская церковь на Ильинской горе,"religion,churches,interesting_places,eastern_orthodox_churches",56.326424,43.990417,,
Знаменский скит,"religion,monasteries,interesting_places",55.177677,43.192612,,
Флорищева пустынь,"religion,monasteries,interesting_places",56.422253,42.644619,,
